code,name,date,type,entry_price,exit_price,pnl,pnl_pct
8034,榮群,2026-01-14,locked,26.65,27.0,0.3500000000000014,0.01313320825515953
8042,金山電,2026-01-14,locked,70.4,71.4,1.0,0.014204545454545454
8043,蜜望實,2026-01-14,locked,98.7,101.0,2.299999999999997,0.023302938196555188
8080,泰霖,2026-01-14,locked,43.45,47.75,4.299999999999997,0.098964326812428
8092,建暐,2026-01-14,locked,15.0,15.0,0.0,0.0
8101,華冠,2026-01-14,locked,16.55,16.8,0.25,0.015105740181268881
8171,天宇,2026-01-14,locked,27.65,29.45,1.8000000000000007,0.06509945750452083
8289,泰藝,2026-01-14,locked,25.0,27.5,2.5,0.1
8422,可寧衛*,2026-01-14,locked,51.9,46.9,-5.0,-0.09633911368015415
8438,昶昕,2026-01-14,not_locked,57.2,56.0,-1.2000000000000028,-0.02097902097902103
8440,綠電,2026-01-14,locked,29.7,31.8,2.1000000000000014,0.07070707070707076
8476,台境*,2026-01-14,locked,22.7,24.95,2.25,0.09911894273127754
9955,佳龍,2026-01-14,locked,40.55,41.55,1.0,0.02466091245376079
1303,南亞,2026-01-15,locked,69.7,71.8,2.0999999999999943,0.030129124820659887
1717,長興,2026-01-15,locked,67.1,69.0,1.9000000000000057,0.02831594634873332
1721,三晃,2026-01-15,locked,18.75,18.85,0.10000000000000142,0.0053333333333334095
1802,台玻,2026-01-15,locked,38.0,40.5,2.5,0.06578947368421052
2312,金寶,2026-01-15,locked,33.3,34.6,1.3000000000000043,0.03903903903903917
2367,燿華,2026-01-15,not_locked,38.15,37.1,-1.0499999999999972,-0.02752293577981644
2424,隴華,2026-01-15,not_locked,38.8,38.45,-0.3499999999999943,-0.009020618556700884
2485,兆赫,2026-01-15,locked,36.55,38.1,1.5500000000000043,0.04240766073871421
3066,李洲,2026-01-15,locked,15.5,15.9,0.40000000000000036,0.02580645161290325
3346,麗清,2026-01-15,locked,21.05,21.2,0.14999999999999858,0.007125890736341975
3354,律勝,2026-01-15,locked,32.2,32.8,0.5999999999999943,0.01863354037267063
3432,台端,2026-01-15,locked,15.95,16.5,0.5500000000000007,0.0344827586206897
3501,維熹,2026-01-15,locked,57.6,59.0,1.3999999999999986,0.02430555555555553
3504,揚明光,2026-01-15,locked,57.5,56.9,-0.6000000000000014,-0.010434782608695677
3535,晶彩科,2026-01-15,locked,97.7,100.0,2.299999999999997,0.02354145342886384
3591,艾笛森,2026-01-15,locked,20.4,21.8,1.4000000000000021,0.06862745098039226
3645,達邁,2026-01-15,locked,60.0,60.0,0.0,0.0
3663,鑫科,2026-01-15,locked,68.4,69.6,1.1999999999999886,0.01754385964912264
3691,碩禾,2026-01-15,locked,104.5,105.5,1.0,0.009569377990430622
4533,協易機,2026-01-15,locked,27.6,27.8,0.1999999999999993,0.007246376811594177
4764,雙鍵,2026-01-15,locked,133.0,134.5,1.5,0.011278195488721804
4923,力士,2026-01-15,locked,31.1,32.7,1.6000000000000014,0.05144694533762062
4939,亞電,2026-01-15,locked,40.3,40.6,0.30000000000000426,0.007444168734491422
4989,榮科,2026-01-15,locked,66.5,68.0,1.5,0.022556390977443608
